X,Y,ROTATION,LEGEND_TOP_MARGIN,LRFLAG,JOB_NO,MAP_ID,OBJECTID,SHAPE.LEN,LEGEND_BOTTOM_MARGIN,FRACL,SUBAREA_NO,AREA_NO,PAGELETTER_ID,POLTOWNSHIP_NAME,MAPTITLE,RANGE,SECTION_NO,SHAPE.AREA,IBL,TOWNSHIP,FLYLEAF,PAGE
-87.7091161099546,41.8991804993282,0,,R,,9647,12361,7963.69365691996,,,2,16,H,WEST,WEST,13,2,3526187.5010905, ,39,0,1602H
-87.782816730796,41.9054159226302,0,,L,,9651,12362,7966.73284327301,,,5,16,C,OAK PARK,OAK PARK,13,5,3423491.5109745, ,39,0,1605C
-87.8029717250615,41.9052573471122,0,,L,,9652,12363,8259.95870398885,,,6,16,C,OAK PARK,OAK PARK,13,6,3890943.0359105, ,39,0,1606C
-87.6598239560812,41.8852580253223,0,,R,,7168,12553,8103.70008330938,,,8,17,F,WEST,WEST,14,8,3721394.658429, ,39,0,1708F
-87.7626225431167,41.8838117364251,0,,L,,9659,12365,7863.18050271493,,,9,16,E,WEST,WEST,13,9,3407441.774688, ,39,1,1609E
-87.7084544961477,41.8773050002695,0,,R,,9468,12367,7971.43493275435,,,14,16,B,WEST,WEST,13,14,3533169.818736, ,39,0,1614B
-87.7725264008171,41.8914614016075,0,,L,,9606,12368,8080.41448802446,,,8,16,A,WEST,WEST,13,8,3648568.4316905, ,39,0,1608A
-87.7235345972564,41.8917253501094,0,,L,2003000106,9629,12370,8039.58767663539,,,11,16,C,WEST,WEST,13,11,3583237.274885, ,39,0,1611C
-87.738030583305,41.8841853097678,0,,R,2005000575,9624,12372,7946.82302732117,,,10,16,F,WEST,WEST,13,10,3512277.720686, ,39,0,1610F
-87.6393597375006,41.856308642657,0,,R,,7122,12374,7998.61851931274,,,21,17,F,WEST,SOUTH & WEST,14,21,3569499.659548, ,39,0,1721F
-87.6295477487669,41.8564358753996,0,,R,,7123,12375,7821.90594805176,,,21,17,H,SOUTH,SOUTH,14,21,3339576.049196, ,39,1,1721H
-87.6539853142542,41.8707762995137,0,,L,,7124,12376,8327.62336789522,,,17,17,G,WEST,WEST,14,17,4036587.91513, ,39,1,1717G
-87.6351716417159,41.8709216254774,0,,L,,7125,12377,8020.74272332201,,,16,17,G,WEST,SOUTH & WEST,14,16,3688068.754338, ,39,1,1716G
-87.6395661598302,41.8636620465192,0,,R,,7127,12378,8056.83423667552,,,21,17,D,WEST,WEST,14,21,3636659.64946, ,39,0,1721D
-87.6297301780685,41.8639883997395,0,,R,,7129,12379,7855.11965967368,,,21,17,B,SOUTH,SOUTH & WEST,14,21,3362686.7893395, ,39,1,1721B
-87.678596920487,41.8631057996077,0,,R,,7130,12380,7960.47966563732,,,19,17,D,WEST,WEST,14,19,3529807.118498, ,39,0,1719D
-87.6641345872607,41.8708386219413,0,,L,,7132,12381,7911.83799538103,,,17,17,E,WEST,WEST,14,17,3491880.521456, ,39,1,1717E
-87.6400456799464,41.8705918959739,0,,R,,7133,12382,7632.91706823887,,,16,17,F,WEST,WEST,14,16,3183039.10975, ,39,0,1716F
-87.6249793262671,41.8707672264412,0,,L,,7135,12383,7862.84564004028,,,15,17,E,SOUTH,SOUTH,14,15,3559627.970426, ,39,1,1715E
-87.6197740541623,41.8715244263769,0,,R,,7136,12384,7915.26052266319,,,15,17,F,SOUTH,SOUTH,14,15,3615382.6123935, ,39,0,1715F
-87.6249401228437,41.8637491499565,0,,L,,7139,12385,8008.24570367004,,,22,17,C,SOUTH,SOUTH,14,22,3576542.8395185, ,39,1,1722C
-87.6198464006841,41.8565358290032,0,,R,,7140,12386,8000.32336024092,,,22,17,F,SOUTH,SOUTH,14,22,3567264.21876, ,39,1,1722F
