X,Y,SHAPE.LEN,SHAPE.AREA,NAME,OBJECTID,ALIAS
-87.5994222497058,41.7641523499739,4714.6539565,1343014.4111187,v26xxxp010c.jpg,3238,v26xxxp010c
-87.5970227499892,41.7641827499739,4746.08958916667,1359848.36224495,v26xxxp011c.jpg,3239,v26xxxp011c
-87.5942698251366,41.7641973999867,4700.0240645,1334580.71251502,v26xxxp012c.jpg,3240,v26xxxp012c
-87.5921482745609,41.7642145499606,4659.77480116667,1307239.47103883,v26xxxp013c.jpg,3241,v26xxxp013c
-87.5898398997062,41.7641841999737,4644.789923,1299183.5855263,v26xxxp014c.jpg,3242,v26xxxp014c
-87.5873569996999,41.7642510999742,4787.13937583334,1384764.64546817,v26xxxp015c.jpg,3243,v26xxxp015c
-87.5872352999859,41.7606083999738,4741.321226,1360167.41240129,v26xxxp016c.jpg,3244,v26xxxp016c
-87.623278249994,41.7600214999743,4796.726627,1385750.36114007,v26xxxp017c.jpg,3245,v26xxxp017c
-87.6200572745761,41.7601238499611,4724.7937,1344848.2300625,v26xxxp018c.jpg,3246,v26xxxp018c
-87.6168377497149,41.760171149974,4717.06405666667,1342056.81265579,v26xxxp019c.jpg,3247,v26xxxp019c
-87.6140059248572,41.7602490999868,4640.99924816667,1298635.14432618,v26xxxp020c.jpg,3248,v26xxxp020c
-87.6115943748568,41.7603239499867,4603.49013683334,1277541.65002915,v26xxxp021c.jpg,3249,v26xxxp021c
-87.6091941497129,41.7603076499738,4672.65666516667,1315354.22941195,v26xxxp022c.jpg,3250,v26xxxp022c
-87.6063625248401,41.7604125999606,4724.640157,1350240.69459421,v26xxxp023c.jpg,3251,v26xxxp023c
-87.6045015745656,41.760421949961,4728.399992,1348496.10577895,v26xxxp024c.jpg,3252,v26xxxp024c
-87.6017787499887,41.7604786999742,4795.71219333334,1389386.71958734,v26xxxp025c.jpg,3253,v26xxxp025c
-87.5996269997072,41.7604856499739,4701.87511066667,1333894.70808769,v26xxxp026c.jpg,3254,v26xxxp026c
-87.5966562997057,41.7605247999739,4704.0476785,1335793.75956036,v26xxxp027c.jpg,3255,v26xxxp027c
-87.5946185494242,41.7605065999738,4637.79912333334,1294745.15530507,v26xxxp028c.jpg,3256,v26xxxp028c
-87.5920722245559,41.7605577499612,4753.98721116667,1363714.22101422,v26xxxp029c.jpg,3257,v26xxxp029c
-87.5897397999917,41.7605485999735,4666.42898733334,1313070.84642572,v26xxxp030c.jpg,3258,v26xxxp030c
-87.6232366748593,41.7564054499869,4678.59956666667,1318509.38893462,v26xxxp031c.jpg,3259,v26xxxp031c
-87.6199703748499,41.7564751499608,4706.60607233334,1335220.47631193,v26xxxp032c.jpg,3260,v26xxxp032c
-87.6167214997157,41.7565417999737,4657.002497,1307058.63134018,v26xxxp033c.jpg,3261,v26xxxp033c
-87.613884224565,41.7566260999605,4680.5437885,1324268.40228568,v26xxxp034c.jpg,3262,v26xxxp034c
-87.6114649745676,41.7566649499607,4695.5595065,1331033.01439676,v26xxxp035c.jpg,3263,v26xxxp035c
-87.6090269494282,41.7567344499742,4763.26278316667,1371703.35880013,v26xxxp036c.jpg,3264,v26xxxp036c
-87.6063071999899,41.7567652499739,4730.78122083334,1350896.78847647,v26xxxp037c.jpg,3265,v26xxxp037c
-87.6038473994268,41.7567915499737,4649.506449,1305008.77417979,v26xxxp038c.jpg,3266,v26xxxp038c
-87.6008432748525,41.7568206499869,4730.64276966667,1353029.12585612,v26xxxp039c.jpg,3267,v26xxxp039c
-87.5976688994256,41.7568325999741,4710.171682,1336537.1540489,v26xxxp040c.jpg,3268,v26xxxp040c
-87.5946821248504,41.7568098999873,4857.880048,1428045.45705449,v26xxxp041c.jpg,3269,v26xxxp041c
-87.5923075497007,41.7568518999736,4683.83643283334,1326647.8755145,v26xxxp042c.jpg,3270,v26xxxp042c
-87.5897101496995,41.7568652499735,4667.21835583334,1317488.76458731,v26xxxp043c.jpg,3271,v26xxxp043c
-87.5871216245554,41.7569091499607,4676.864662,1318650.46600135,v26xxxp044c.jpg,3272,v26xxxp044c
-87.6231068748594,41.7527835999869,4684.21176016667,1322207.90856434,v26xxxp045c.jpg,3273,v26xxxp045c
-87.6198765743007,41.7528460999613,4733.12504816667,1349768.71102807,v26xxxp046c.jpg,3274,v26xxxp046c
-87.6165838994343,41.7529417999741,4734.37767033334,1355290.98004673,v26xxxp047c.jpg,3275,v26xxxp047c
-87.6138314997163,41.7529471499736,4638.7879665,1295997.34236235,v26xxxp048c.jpg,3276,v26xxxp048c
-87.6114519251381,41.7529936499867,4642.40147633334,1294594.64156787,v26xxxp049c.jpg,3277,v26xxxp049c
-87.608954649713,41.7530659999738,4682.28131783334,1321893.46435123,v26xxxp050c.jpg,3278,v26xxxp050c
-87.6063480997111,41.7531062499739,4694.7366735,1329096.38649047,v26xxxp051c.jpg,3279,v26xxxp051c
-87.6038291997095,41.7531555499741,4734.12504616667,1351760.54006929,v26xxxp052c.jpg,3280,v26xxxp052c
-87.6007039499886,41.7531980499739,4742.05219566667,1357858.56996165,v26xxxp053c.jpg,3281,v26xxxp053c
-87.5978471745599,41.7531827499611,4733.4649425,1351968.03856418,v26xxxp054c.jpg,3282,v26xxxp054c
-87.5956921245592,41.7533346499608,4704.20778316667,1335072.6122531,v26xxxp055c.jpg,3283,v26xxxp055c
-87.5927762494149,41.7533588499743,4779.974692,1381924.05925958,v26xxxp056c.jpg,3284,v26xxxp056c
-87.5903962497082,41.7533177499737,4646.06813566667,1298640.57167477,v26xxxp057c.jpg,3285,v26xxxp057c
-87.5876674494122,41.7533800499742,4757.88352883334,1368449.47483236,v26xxxp058c.jpg,3286,v26xxxp058c
-87.6229539497118,41.7491768999742,4785.18071833334,1385504.77918001,v26xxxp059c.jpg,3287,v26xxxp059c
-87.6198432997171,41.7491757499742,4744.663739,1356555.54221382,v26xxxp060c.jpg,3288,v26xxxp060c
-87.6165448997085,41.749272999974,4753.79429816667,1367620.67861806,v26xxxp061c.jpg,3289,v26xxxp061c
-87.6137545997232,41.7492983999738,4620.93104683334,1280063.29862495,v26xxxp062c.jpg,3290,v26xxxp062c
-87.6113475997205,41.7493510999736,4611.21059383334,1276348.56550065,v26xxxp063c.jpg,3291,v26xxxp063c
-87.6088689497107,41.7494180499737,4676.96177466667,1320358.34638469,v26xxxp064c.jpg,3292,v26xxxp064c
-87.6061759999917,41.749387399973,4572.69885983334,1260373.07777392,v26xxxp065c.jpg,3293,v26xxxp065c
-87.6042949994331,41.7494605499739,4645.89622,1297839.65461061,v26xxxp066c.jpg,3294,v26xxxp066c
-87.601568599999,41.7494935999736,4621.34180716667,1281594.84846073,v26xxxp067c.jpg,3295,v26xxxp067c
-87.5990440997071,41.7495421499741,4737.85929066667,1353991.61149714,v26xxxp068c.jpg,3296,v26xxxp068c
-87.596457249988,41.7495605999741,4778.81852633334,1379329.4604799,v26xxxp069c.jpg,3297,v26xxxp069c
-87.593320524856,41.7495756999866,4545.96597366667,1241368.59877039,v26xxxp070c.jpg,3298,v26xxxp070c
-87.5905110497041,41.749610499974,4736.54236416667,1353881.53286663,v26xxxp071c.jpg,3299,v26xxxp071c
-87.5872347248509,41.7496897499871,4762.65057966667,1368826.28790339,v26xxxp072c.jpg,3300,v26xxxp072c
-87.7797752497857,41.9328852999739,4647.18886833334,1295734.13011067,v30xxxp027c.jpg,3697,v30xxxp027c
-87.7771944244524,41.9329520499614,4752.4097865,1360844.22580855,v30xxxp028c.jpg,3698,v30xxxp028c
-87.8052776246847,41.9289727499611,4726.837003,1346844.96412746,v30xxxp033c.jpg,3699,v30xxxp033c
-87.8024967497866,41.9289695999743,4784.34213733334,1381629.01657466,v30xxxp034c.jpg,3700,v30xxxp034c
