X,Y,Name,Description,StationId
-87.7062848,41.8840739,Kedzie,Line: Green Line,81
-87.70614,41.8840759,Kedzie,Line: Green Line,81
-87.7061078,41.8842656,Kedzie,Line: Green Line,81
-87.7059817,41.8844274,Kedzie,Line: Green Line,81
-87.7069634,41.8843415,Kedzie,Line: Green Line,81
-87.7169439,41.8852571,Conservatory,Line: Green Line,47
-87.717015,41.8850843,Conservatory,Line: Green Line,47
-87.71703650000002,41.8848907,Conservatory,Line: Green Line,47
-87.7169681,41.8847299,Conservatory,Line: Green Line,47
-87.7273026,41.8856554,Pulaski,Line: Green Line,114
-87.7273214,41.8854538,Pulaski,Line: Green Line,114
-87.7262753,41.8855866,Pulaski,Line: Green Line,114
-87.7262847,41.8853869,Pulaski,Line: Green Line,114
-87.7259682,41.8855636,Pulaski,Line: Green Line,114
-87.7259602,41.8853979,Pulaski,Line: Green Line,114
-87.743513900000011,41.8866059,Cicero,Line: Green Line,41
-87.7435595,41.8863863,Cicero,Line: Green Line,41
-87.7450749,41.8864761,Cicero,Line: Green Line,41
-87.7452332,41.8867397,Cicero,Line: Green Line,41
-87.7452278,41.8869614,Cicero,Line: Green Line,41
-87.754623600000016,41.887223,Laramie,Line: Green Line,88
-87.7546477,41.8870832,Laramie,Line: Green Line,88
-87.7552271,41.8868955,Laramie,Line: Green Line,88
-87.7554068,41.8868955,Laramie,Line: Green Line,88
-87.7554148,41.8874905,Laramie,Line: Green Line,88
-87.7552204,41.8870672,Laramie,Line: Green Line,88
-87.765320200000019,41.8873288,Central,Line: Green Line,33
-87.774606,41.887217,Austin,Line: Green Line,24
-87.7844149,41.8870892,Ridgeland,Line: Green Line,119
-87.7942505,41.8869654,Oak Park,Line: Green Line,109
-87.8033647,41.8867996,Harlem,Line: Green Line,68
-87.8051081,41.8867677,Harlem,Line: Green Line,68
-87.8033808,41.8870972,Harlem,"Line: Green Line, Metra",68
-87.7473575,42.0264514,Oakton,Line: Yellow Line,147
-87.7479248,42.0284219,Oakton,Line: Yellow Line,147
-87.7523437,42.0395245,Dempster,Line: Yellow Line,126
-87.7521586,42.0395822,Dempster,Line: Yellow Line,126
-87.6784059,42.0273699,South Boulevard,Line: Purple Line,127
-87.6794198,42.0333628,Main,Line: Purple Line,97
-87.6815441,42.0416898,Dempster,Line: Purple Line,52
-87.6838347,42.0478446,Davis,Line: Purple Line,51
-87.6835343,42.0478626,Davis,Line: Purple Line,51
-87.6836684,42.0537878,Foster,Line: Purple Line,57
-87.6834512,42.0586331,Noyes,Line: Purple Line,107
-87.685774,42.06410540000001,Central,Line: Purple Line,34
-87.6908648,42.0736229,Linden,Line: Purple Line,93
-87.6339751,41.8829417,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.633782,41.8829896,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6339859,41.882734,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6337713,41.8827659,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6339456,41.8826242,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.633774,41.8826481,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6339242,41.8815987,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6337351,41.8816017,Washington/Wells,"Line: Brown, Purple, Orange, Pink, Green Lines",133
-87.6338343,41.8790815,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.6337083,41.8790855,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.633829,41.8788808,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.633708200000015,41.8788858,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.6338236,41.8785343,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.6336922,41.8785313,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.6337029,41.8782707,Quincy,"Line: Brown, Purple, Orange, Pink, Green Lines",116
-87.632172700000012,41.8769107,LaSalle/Van Buren,"Line: Brown, Purple, Orange, Pink, Green Lines",90
-87.6314445,41.8769276,LaSalle/Van Buren,"Line: Brown, Purple, Orange, Pink, Green Lines",90
-87.6314378,41.8768338,LaSalle/Van Buren,"Line: Brown, Purple, Orange, Pink, Green Lines",90
-87.6318723,41.8767739,LaSalle/Van Buren,"Line: Brown, Purple, Orange, Pink, Green Lines",90
-87.62991030000002,41.8769376,Harold Washington Library,"Line: Brown, Purple, Orange, Pink, Green Lines",92
-87.629389900000021,41.8768467,Harold Washington Library,"Line: Brown, Purple, Orange, Pink, Green Lines",92
-87.628005900000019,41.8770035,Harold Washington Library,"Line: Brown, Purple, Orange, Pink, Green Lines",92
-87.6280072,41.8768607,Harold Washington Library,"Line: Brown, Purple, Orange, Pink, Green Lines",92
-87.626237,41.8789347,Adams/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",14
-87.6259929,41.8792582,Adams/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",14
-87.6262088,41.8792622,Adams/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",14
-87.626245,41.8796816,Adams/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",14
-87.6259969,41.8797146,Adams/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",14
-87.6282889,41.8858332,State/Lake,"Line: Brown, Purple, Orange, Pink, Green Lines",130
-87.6282822,41.8856814,State/Lake,"Line: Brown, Purple, Orange, Pink, Green Lines",130
-87.6276277,41.8858352,State/Lake,"Line: Brown, Purple, Orange, Pink, Green Lines",130
-87.6276062,41.8856874,State/Lake,"Line: Brown, Purple, Orange, Pink, Green Lines",130
-87.6263228,41.8829636,Washington/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",118
-87.6260895,41.8829657,Washington/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",118
-87.6262611,41.8823187,Washington/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",118
-87.6260868,41.8823146,Washington/Wabash,"Line: Brown, Purple, Orange, Pink, Green Lines",118
